"","Municipality","Fertility.Rate","socio_economic_class","Age","Children","Age_Group"
"434","Aalborg",1.5973555992872,"3",49,2,"2529"
"435","Aalborg",1.5973555992872,"3",49,2,"3034"
"436","Aalborg",1.7759262554845,"3",49,2,"2529"
"437","Aalborg",1.7759262554845,"3",49,2,"3034"
"438","Aalborg",1.5195255601241,"1",49,2,"2529"
"439","Aalborg",1.5195255601241,"1",49,2,"3539"
"440","Aalborg",1.66735271823648,"2",49,3,"2024"
"441","Aalborg",1.66735271823648,"2",49,3,"2529"
"442","Aalborg",1.66735271823648,"2",49,3,"3539"
"443","Aalborg",2.13517817119412,"3",49,2,"2529"
"444","Aalborg",2.13517817119412,"3",49,2,"3034"
"445","Aalborg",1.71556095896365,"2",49,2,"2529"
"446","Aalborg",1.71556095896365,"2",49,2,"4044"
"447","Aalborg",1.68442709896363,"2",49,3,"2024"
"448","Aalborg",1.68442709896363,"2",49,3,"3034"
"449","Aalborg",1.68442709896363,"2",49,3,"3034"
"450","Aalborg",1.6999365836229,"3",49,2,"2529"
"451","Aalborg",1.6999365836229,"3",49,2,"2529"
"452","Aalborg",1.52502736730823,"3",49,6,"2529"
"453","Aalborg",1.52502736730823,"3",49,6,"2529"
"454","Aalborg",1.52502736730823,"3",49,6,"3034"
"455","Aalborg",1.52502736730823,"3",49,6,"3034"
"456","Aalborg",1.52502736730823,"3",49,6,"3034"
"457","Aalborg",1.52502736730823,"3",49,6,"3539"
"458","Aalborg",1.35954435144225,"1",49,2,"2024"
"459","Aalborg",1.35954435144225,"1",49,2,"2529"
"460","Aalborg",1.42049621474462,"3",49,3,"2529"
"461","Aalborg",1.42049621474462,"3",49,3,"3034"
"462","Aalborg",1.42049621474462,"3",49,3,"3034"
"463","Aalborg",1.77343159622565,"3",49,2,"2529"
"464","Aalborg",1.77343159622565,"3",49,2,"3034"
"465","Aalborg",1.73549934171846,"1",49,1,"3034"
"466","Aalborg",1.44678868517717,"2",49,3,"3034"
"467","Aalborg",1.44678868517717,"2",49,3,"3539"
"468","Aalborg",1.44678868517717,"2",49,3,"3539"
"469","Aalborg",1.42007304400559,"3",49,4,"2529"
"470","Aalborg",1.42007304400559,"3",49,4,"3034"
"471","Aalborg",1.42007304400559,"3",49,4,"3034"
