Municipality,Fertility Rate,socio_economic_class,Age,Children,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Aalborg,1.6281311688124296,2,49,0,0,0,0,0,0,0,0
Aalborg,1.7497258552995534,3,49,0,0,0,0,0,0,0,0
Aalborg,1.5686992897890684,3,49,4,0,0,2,2,0,0,0
Aalborg,1.4675419648256292,3,49,3,1,0,2,0,0,0,0
Aalborg,1.3838469848913988,1,49,4,0,1,3,0,0,0,0
Aalborg,1.21711857145815,3,49,1,0,0,0,1,0,0,0
Aalborg,1.6241628506165107,2,49,1,0,0,1,0,0,0,0
Aalborg,1.4241624615596014,3,49,2,0,0,1,0,1,0,0
Aalborg,1.7318844490662042,1,49,0,0,0,0,0,0,0,0
Aalborg,1.6777681161633873,2,49,0,0,0,0,0,0,0,0
Aalborg,1.7159911335588847,2,49,1,0,0,1,0,0,0,0
Aalborg,1.4704222012817427,3,49,1,0,0,0,1,0,0,0
Aalborg,1.7721735849189553,1,49,3,0,1,1,1,0,0,0
Aalborg,1.6540099189614976,3,49,1,0,0,0,0,0,1,0
Aalborg,1.4753438228619,3,49,4,0,1,2,1,0,0,0
Aalborg,1.551751344009299,3,49,1,0,0,1,0,0,0,0
Aalborg,1.6867778070217825,3,49,1,0,0,1,0,0,0,0
Aalborg,1.5665725901875722,3,49,3,0,0,2,1,0,0,0
Aalborg,1.657624813149775,3,49,3,0,0,1,1,1,0,0
Aalborg,1.5543100476540306,3,49,1,0,0,1,0,0,0,0
Aalborg,1.399883614864739,3,49,1,0,0,0,1,0,0,0
Aalborg,1.5349542796692288,1,49,1,0,0,0,1,0,0,0
Aalborg,1.6743541891695455,2,49,1,0,0,1,0,0,0,0
Aalborg,1.728193420707075,3,49,2,0,1,0,1,0,0,0
Aalborg,1.5425261854103058,2,49,2,0,0,1,0,1,0,0
Aalborg,1.4392838127980947,3,49,1,0,0,1,0,0,0,0
Aalborg,1.5161189747807107,2,49,1,0,0,1,0,0,0,0
Aalborg,1.6514709971176675,1,49,3,0,1,2,0,0,0,0
Aalborg,1.7516641681221081,3,49,3,0,0,0,3,0,0,0
Aalborg,1.5489439415597748,3,49,2,0,0,0,1,0,1,0
Aalborg,1.2865183485338396,3,49,4,1,0,1,2,0,0,0
Aalborg,1.584530275772778,3,49,0,0,0,0,0,0,0,0
Aalborg,1.513748261315596,3,49,2,0,0,0,1,0,1,0
Aalborg,1.606836818914086,3,49,2,0,0,1,1,0,0,0
Aalborg,1.5223221698806246,1,49,3,0,1,2,0,0,0,0
Aalborg,1.5356987569398433,3,49,2,0,0,1,0,1,0,0
Aalborg,1.5526813003933129,3,49,2,0,0,1,0,1,0,0
Aalborg,1.6152002009159852,3,49,0,0,0,0,0,0,0,0
Aalborg,1.7449214042775765,3,49,0,0,0,0,0,0,0,0
Aalborg,1.6024995364562118,3,49,1,0,0,1,0,0,0,0
Aalborg,1.6649558245440705,1,49,0,0,0,0,0,0,0,0
Aalborg,1.5038210055699144,3,49,2,0,0,0,1,1,0,0
Aalborg,1.5967249716101537,3,49,5,0,0,2,2,1,0,0
Aalborg,1.5771236664604558,1,49,1,0,0,1,0,0,0,0
Aalborg,1.97323042707476,2,49,4,0,0,0,3,1,0,0
Aalborg,1.6936055096785296,2,49,4,0,0,2,1,1,0,0
Aalborg,1.5435885739553923,3,49,0,0,0,0,0,0,0,0
Aalborg,1.4012379469974992,3,49,2,0,2,0,0,0,0,0
Aalborg,1.6607875822119171,3,49,1,0,0,0,0,1,0,0
Aalborg,1.188078203750238,3,49,1,0,0,1,0,0,0,0
Aalborg,1.8932152257207837,3,49,4,0,0,2,1,1,0,0
Aalborg,1.5975639463226,1,49,2,0,0,0,0,2,0,0
Aalborg,1.3372959185711868,3,49,0,0,0,0,0,0,0,0
Aalborg,1.421553108462813,3,49,1,0,0,0,1,0,0,0
Aalborg,1.7598945177159013,3,49,3,0,1,0,1,1,0,0
Aalborg,1.4178038542747728,1,49,1,0,0,1,0,0,0,0
Aalborg,1.459348427588052,3,49,1,0,0,1,0,0,0,0
Aalborg,1.4495364752936624,3,49,2,0,0,1,1,0,0,0
Aalborg,1.366896233848009,3,49,1,0,0,1,0,0,0,0
Aalborg,1.5343447886526784,2,49,2,0,0,2,0,0,0,0
Aalborg,1.871300298288474,2,49,2,0,0,2,0,0,0,0
Aalborg,1.4030084405851508,3,49,0,0,0,0,0,0,0,0
Aalborg,1.883494749553281,3,49,0,0,0,0,0,0,0,0
Aalborg,1.6723300048114687,1,49,3,0,0,2,0,1,0,0
Aalborg,1.7526490902285472,3,49,1,0,0,0,1,0,0,0
Aalborg,1.7216758736527167,3,49,2,0,0,0,2,0,0,0
Aalborg,1.4704788409594292,3,49,4,0,0,2,1,1,0,0
Aalborg,1.625131452020771,2,49,1,0,0,1,0,0,0,0
Aalborg,1.5078035420417868,3,49,1,0,0,1,0,0,0,0
Aalborg,1.488098226557149,1,49,0,0,0,0,0,0,0,0
Aalborg,1.6268418647527716,2,49,4,0,0,0,2,2,0,0
Aalborg,1.7172555823246327,3,49,1,0,0,0,1,0,0,0
Aalborg,1.4500401370141212,2,49,3,0,2,1,0,0,0,0
Aalborg,1.9430418874807953,1,49,2,0,1,0,1,0,0,0
Aalborg,1.7744485003880797,2,49,0,0,0,0,0,0,0,0
Aalborg,1.5229724331526997,1,49,2,0,0,2,0,0,0,0
Aalborg,1.7060059635720608,3,49,2,0,0,0,1,1,0,0
Aalborg,1.62271762072709,1,49,2,1,1,0,0,0,0,0
Aalborg,1.6381743315530803,2,49,3,0,0,1,2,0,0,0
Aalborg,1.722589949833847,3,49,1,0,0,0,0,0,1,0
Aalborg,1.6387775592808347,3,49,0,0,0,0,0,0,0,0
Aalborg,1.6139188699893858,3,49,2,0,0,0,1,1,0,0
Aalborg,1.4143438524509344,2,49,1,0,0,0,1,0,0,0
Aalborg,1.7003446263113693,3,49,4,0,1,2,1,0,0,0
Aalborg,1.7891275295483113,2,49,1,0,0,0,0,1,0,0
Aalborg,1.530823734604849,3,49,3,0,0,1,1,1,0,0
Aalborg,1.4165823460188651,3,49,3,0,0,2,0,1,0,0
Aalborg,1.5464849797066458,1,49,3,0,0,1,1,1,0,0
Aalborg,1.8213795682329361,1,49,2,0,0,1,1,0,0,0
Aalborg,1.4640487453108246,3,49,2,0,0,1,1,0,0,0
Aalborg,1.6501070045773867,3,49,3,0,0,1,2,0,0,0
Aalborg,1.4025271147414664,2,49,3,0,1,2,0,0,0,0
Aalborg,1.6368974181986284,3,49,3,0,0,1,1,1,0,0
Aalborg,1.5278170449448065,3,49,2,0,0,1,1,0,0,0
Aalborg,1.4929939884588697,2,49,1,0,0,0,1,0,0,0
Aalborg,1.8455077401010023,3,49,1,0,0,0,1,0,0,0
Aalborg,1.3055182660495739,3,49,2,0,1,1,0,0,0,0
Aalborg,1.5945594844411324,3,49,2,0,0,0,2,0,0,0
Aalborg,1.7196567140875874,3,49,1,0,0,1,0,0,0,0
Aalborg,1.7119014700504234,3,49,1,0,1,0,0,0,0,0
Aalborg,1.5696238414738606,3,49,1,0,1,0,0,0,0,0
Aalborg,1.7266334282665448,2,49,1,0,0,1,0,0,0,0
