Municipality,Fertility Rate,socio_economic_class,Age,Children,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Aalborg,1.4442610018772635,1,49,23,5,3,5,5,5,0,0
Aalborg,1.4692656187689888,2,49,23,5,3,5,5,5,0,0
Aalborg,1.8251565619506336,2,49,21,4,2,5,5,5,0,0
Aalborg,1.5293599834679183,3,49,25,5,5,5,5,5,0,0
Aalborg,1.242576950801687,3,49,23,5,3,5,5,5,0,0
Aalborg,1.6297408987077315,3,49,25,5,4,5,5,5,1,0
Aalborg,1.5156801653366154,3,49,23,5,3,5,5,5,0,0
Aalborg,1.5080190665221085,2,49,24,5,4,5,5,5,0,0
Aalborg,1.5397525012990247,3,49,24,5,4,5,5,5,0,0
Aalborg,1.4321673930840906,3,49,23,4,4,5,5,5,0,0
Aalborg,1.642914917150253,3,49,23,5,3,5,5,5,0,0
Aalborg,1.7424297479435167,3,49,24,4,5,5,5,5,0,0
Aalborg,1.617249209015368,3,49,25,5,5,5,5,5,0,0
Aalborg,1.721282835449245,1,49,22,4,3,5,5,5,0,0
Aalborg,1.6791784176625464,3,49,24,5,4,5,5,5,0,0
Aalborg,1.4685849353931608,3,49,24,5,4,5,5,5,0,0
Aalborg,1.7308573286963214,3,49,24,5,4,5,5,5,0,0
Aalborg,1.6235313031673335,3,49,25,4,5,5,5,5,1,0
Aalborg,1.6526980718116706,3,49,24,4,5,5,5,5,0,0
Aalborg,1.525983208812104,3,49,24,5,3,5,5,5,1,0
Aalborg,1.7889297105341755,3,49,22,4,3,5,5,5,0,0
Aalborg,1.625481472869755,1,49,24,4,5,5,5,5,0,0
Aalborg,1.4679212666455403,2,49,22,5,2,5,5,5,0,0
Aalborg,1.489354326244658,3,49,24,4,5,5,5,5,0,0
Aalborg,1.7715631899118605,3,49,23,4,4,5,5,5,0,0
Aalborg,1.5940369933847482,3,49,23,4,4,5,5,5,0,0
Aalborg,1.7921884661976841,1,49,23,4,4,5,5,5,0,0
Aalborg,1.5719120292705333,2,49,24,5,4,5,5,5,0,0
Aalborg,1.76460475059385,3,49,23,5,3,5,5,5,0,0
Aalborg,1.6583242772204987,3,49,23,5,3,5,5,5,0,0
Aalborg,1.4912720952321044,1,49,23,4,4,5,5,5,0,0
Aalborg,1.5247726287770889,2,49,22,4,3,5,5,5,0,0
Aalborg,1.6997480110604568,3,49,22,5,2,5,5,5,0,0
Aalborg,1.3275435984262083,3,49,22,4,3,5,5,5,0,0
Aalborg,1.6751976004447622,3,49,23,4,4,5,5,5,0,0
Aalborg,1.649062447649146,3,49,22,4,3,5,5,5,0,0
Aalborg,1.5422307055998514,3,49,24,5,4,5,5,5,0,0
Aalborg,1.9279604166031157,2,49,24,5,4,5,5,5,0,0
Aalborg,1.576923626352117,1,49,25,5,5,5,5,5,0,0
Aalborg,1.6176082913474297,3,49,24,5,4,5,5,5,0,0
Aalborg,1.593003429699288,1,49,23,5,3,5,5,5,0,0
Aalborg,1.9257478382417794,3,49,24,4,5,5,5,5,0,0
Aalborg,1.6196724198084291,3,49,23,4,4,5,5,5,0,0
Aalborg,1.2305397427816984,2,49,24,4,5,5,5,5,0,0
Aalborg,1.6170170226224345,3,49,24,5,4,5,5,5,0,0
Aalborg,1.5535070210528872,3,49,24,4,5,5,5,5,0,0
Aalborg,1.4555112562667967,3,49,24,5,4,5,5,5,0,0
Aalborg,1.6351747208902268,2,49,25,5,5,5,5,5,0,0
Aalborg,1.6716769764806745,3,49,24,5,4,5,5,5,0,0
Aalborg,1.4008834246769495,3,49,24,4,5,5,5,5,0,0
Aalborg,1.8357828984090387,2,49,23,5,3,5,5,5,0,0
Aalborg,1.5334929121109584,3,49,23,4,4,5,5,5,0,0
Aalborg,1.4297681853328754,3,49,24,4,5,5,5,5,0,0
Aalborg,1.8601097376027367,2,49,22,4,3,5,5,5,0,0
Aalborg,1.5999862531968256,1,49,23,4,4,5,5,5,0,0
Aalborg,1.4514724368503,1,49,24,4,5,5,5,5,0,0
Aalborg,1.5452167430937886,1,49,24,4,5,5,5,5,0,0
Aalborg,1.8711415186786682,3,49,25,5,5,5,5,5,0,0
Aalborg,1.5339081468662568,1,49,23,5,3,5,5,5,0,0
Aalborg,1.6395702382104729,2,49,23,4,4,5,5,5,0,0
Aalborg,1.4026295765724606,2,49,23,4,4,5,5,5,0,0
Aalborg,1.422729649361818,3,49,25,5,5,5,5,5,0,0
Aalborg,1.4908596936868839,1,49,24,5,4,5,5,5,0,0
Aalborg,1.5317900086222547,3,49,24,4,5,5,5,5,0,0
Aalborg,1.674557014094368,3,49,23,4,4,5,5,5,0,0
Aalborg,1.496004726643747,1,49,24,5,4,5,5,5,0,0
Aalborg,1.6046730058929053,2,49,25,5,5,5,5,5,0,0
Aalborg,1.624487969568465,3,49,23,4,4,5,5,5,0,0
Aalborg,1.5195769223686197,3,49,23,5,3,5,5,5,0,0
Aalborg,1.7137340530478067,3,49,24,5,4,5,5,5,0,0
Aalborg,1.4537691937689117,3,49,23,4,4,5,5,5,0,0
Aalborg,1.3985205916058239,3,49,24,5,4,5,5,5,0,0
